,count,mean,std,min,25%,50%,75%,max
SemanticSimilarity,2451.0,0.663721100475991,0.24909788267939625,-0.10305176,0.6110838999999999,0.75294906,0.829499575,1.0
BLEU,2451.0,0.045824679110410695,0.0920294137558833,0.0,1.006134885580188e-231,5.9438219169725235e-155,0.0691857613511264,0.9253911813809744
ROUGE1,2451.0,0.24676858097040863,0.15664143213839013,0.0,0.14962686567164174,0.2272727272727272,0.3157894736842105,1.0
ROUGEL,2451.0,0.216062122464392,0.14881630009430033,0.0,0.12,0.1923076923076923,0.2758620689655172,1.0
BERTScore,2451.0,0.8829747973561811,0.0318720321317333,0.7799659,0.8677245849999999,0.88642544,0.90227875,0.99999994
ResponseLength,2451.0,43.9547123623011,15.54897428301835,1.0,36.0,45.0,53.0,179.0
GroundTruthLength,2451.0,9.2203182374541,4.07906692770835,1.0,7.0,9.0,12.0,24.0
LengthDifference,2451.0,34.78090575275398,14.757403488076417,0.0,27.0,35.0,44.0,178.0
QuestionLength,2451.0,10.638922888616891,5.711908318178399,3.0,7.0,9.0,12.0,50.0
ResponseCharacters,2451.0,277.7201142390861,103.36109479732325,4.0,220.5,282.0,339.0,1037.0
AverageWordLength,2451.0,6.29911093533937,0.611453524624549,3.6,5.8982549541555755,6.275,6.648635477582846,9.5
